Date	Hour_string	UserId	Group	LearningObjective	Correct	Progress	Color
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	0	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40278	Getallen	Schatten door afronden	0	-31	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Gehele getallen plaatsen op getallenlijn	1	1	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Gehele getallen plaatsen op getallenlijn	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	0	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Gehele getallen plaatsen op getallenlijn	1	3	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40278	Getallen	Schatten door afronden	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40271	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40275	Getallen	Schatten door afronden	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	68421	Getallen	Optellen en aftrekken tot ±1000	1	2	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40285	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40277	Getallen	Optellen en aftrekken tot ±1000	1	5	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40284	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40272	Meten	Meetinstrumenten aflezen - Klokkijken	1	3	rgba(255, 165, 0, 0.8)
2015-03-23	09 - 10 uur	40267	Getallen	Schatten door afronden	1	0	rgba(0, 128, 0, 0.8)
2015-03-23	09 - 10 uur	40283	Getallen	Gehele getallen plaatsen op getallenlijn	1	0	rgba(0, 128, 0, 0.8)
